task,arm,run,pass_score,must_score,must_not_score,any_n_score,any_n_hits_count,subagent_tokens,duration_ms,tool_uses,qualitative
T10,gimle,1,1.0,1.0,1.0,1.0,4,,,,True
T10,gimle,2,1.0,1.0,1.0,1.0,4,,,,True
T10,vanilla,1,1.0,1.0,1.0,1.0,4,,,,True
T10,vanilla,2,1.0,1.0,1.0,1.0,4,,,,True
T2,gimle,1,1.0,1.0,1.0,1.0,5,,,,False
T2,gimle,2,0.667,1.0,1.0,0.0,0,,,,False
T2,vanilla,1,1.0,1.0,1.0,1.0,5,,,,False
T2,vanilla,2,0.667,1.0,1.0,0.0,0,,,,False
T3,gimle,1,1.0,1.0,1.0,1.0,9,,,,False
T3,gimle,2,1.0,1.0,1.0,1.0,7,,,,False
T3,vanilla,1,1.0,1.0,1.0,1.0,9,,,,False
T3,vanilla,2,1.0,1.0,1.0,1.0,9,,,,False
T4,gimle,1,1.0,1.0,1.0,1.0,6,,,,False
T4,gimle,2,1.0,1.0,1.0,1.0,5,,,,False
T4,vanilla,1,1.0,1.0,1.0,1.0,5,,,,False
T4,vanilla,2,1.0,1.0,1.0,1.0,6,,,,False
T5,gimle,1,1.0,1.0,1.0,1.0,8,,,,False
T5,gimle,2,1.0,1.0,1.0,1.0,8,,,,False
T5,vanilla,1,1.0,1.0,1.0,1.0,8,,,,False
T5,vanilla,2,1.0,1.0,1.0,1.0,8,,,,False
T7,gimle,1,1.0,1.0,1.0,1.0,4,,,,False
T7,gimle,2,1.0,1.0,1.0,1.0,4,,,,False
T7,vanilla,1,1.0,1.0,1.0,1.0,4,,,,False
T7,vanilla,2,1.0,1.0,1.0,1.0,4,,,,False
T8,gimle,1,1.0,1.0,1.0,1.0,2,,,,False
T8,gimle,2,1.0,1.0,1.0,1.0,2,,,,False
T8,vanilla,1,1.0,1.0,1.0,1.0,3,,,,False
T8,vanilla,2,1.0,1.0,1.0,1.0,3,,,,False
T9,gimle,1,1.0,1.0,1.0,1.0,2,,,,False
T9,gimle,2,1.0,1.0,1.0,1.0,2,,,,False
T9,vanilla,1,1.0,1.0,1.0,1.0,2,,,,False
T9,vanilla,2,1.0,1.0,1.0,1.0,2,,,,False
